# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
A Dispo,À Disposição,,À Disposição,,,MD33-M-02
APD,A partir de,,A partir de,,,MD33-M-02
AP,A postos,,A postos,,,MD33-M-02
ASD,A ser determinado,,A ser determinado,,,MD33-M-02
Abst,Abastecimento,Abastecer;Abastecedor,"Abastecimento, Abastecer, Abastecedor (A)",A,,MD33-M-02
Aba,Abater,Abate;Abatedor,"Abater, Abate, Abatedor",,,MD33-M-02
Abts,Abatis,,Abatis,,,MD33-M-02
Abo,Abono,Abonar;Abonador;Abonável,"Abono, Abonar, Abonador, Abonável",,,MD33-M-02
Abrd,Abordar,Abordagem;Abordável,"Abordar, Abordagem, Abordável",,,MD33-M-02
Abt,Abortar,Aborto,"Abortar, Aborto",,,MD33-M-02
Abtv,Abortiva,,Abortiva,,,MD33-M-02
Abrev,Abreviar,Abreviatura;Abreviador,"Abreviar, Abreviatura, Abreviador",,,MD33-M-02
Abg,Abrigo,Abrigar;Abrigador,"Abrigo, Abrigar, Abrigador",,,MD33-M-02
Ab,Abrir,Abertura;Abridor,"Abrir, Abertura, Abridor",,,MD33-M-02
Abs,Absoluto,,Absoluto,,,MD33-M-02
Acamp,Acampamento,Acampar,"Acampamento, Acampar",,,MD33-M-02
Acant,Acantonamento,Acantonar,"Acantonamento, Acantonar",,,MD33-M-02
Aces,Ação Aç Acessar,Acessibilidade;Acessível;Acesso,"Ação (A) Aç Acessar, Acessibilidade, Acessível, Acesso (A)",A,,MD33-M-02
TDMA,Acesso Múltiplo por Divisão do Tempo (Time Division Multiple Access),,Acesso Múltiplo por Divisão do Tempo (Time Division Multiple Access),,,MD33-M-02
Acs,Acessório,,Acessório,,,MD33-M-02
Acdt,Acidente,Acidental;Acidentar,"Acidente, Acidental, Acidentar",,,MD33-M-02
Acn,Acionar,Acionador;Acionamento;Acionável,"Acionar, Acionador, Acionamento, Acionável",,,MD33-M-02
Aclh,Acolher,Acolhimento;Acolhedor,"Acolher, Acolhimento, Acolhedor",,,MD33-M-02
Acomp,Acompanhar,Acompanhamento;Acompanhante,"Acompanhar, Acompanhamento, Acompanhante",,,MD33-M-02
Acd,Acordo,Acordar;Acorde,"Acordo, Acordar, Acorde",,,MD33-M-02
Acresc,Acrescentar,Acréscimo,"Acrescentar, Acréscimo",,,MD33-M-02
Acu,Acumulador,Acumular;Acúmulo;Acumulativo;Acumulável,"Acumulador, Acumular, Acúmulo, Acumulativo, Acumulável",,,MD33-M-02
Acs,Acusar,Acusação;Acusador;Acusável,"Acusar, Acusação, Acusador, Acusável",,,MD33-M-02
Adp,Adaptar,Adaptação;Adaptador;Adaptativo;Adaptável,"Adaptar, Adaptação, Adaptador, Adaptativo, Adaptável",,,MD33-M-02
Ado,Adendo,,Adendo,,,MD33-M-02
Adeqd,Adequação,Adequar;Adequável,"Adequação, Adequar, Adequável",,,MD33-M-02
Adst,Adestramento,Adestrar;Adestrador;Adestrável,"Adestramento, Adestrar, Adestrador, Adestrável",,,MD33-M-02
Adia,Adiamento,Adiar;Adiavel,"Adiamento, Adiar, Adiavel",,,MD33-M-02
Adnt,Adiantamento,Adiantar;Adiantável,"Adiantamento, Adiantar, Adiantável",,,MD33-M-02
Adc TS,Adicional de Tempo de Serviço,,Adicional de Tempo de Serviço,,,MD33-M-02
Adc,Adicional,Adicionar;Adicionável,"Adicional, Adicionar, Adicionável",,,MD33-M-02
Adi,Adido,,Adido,,,MD33-M-02
Adt,Aditamento,Aditar;Aditável,"Aditamento, Aditar, Aditável",,,MD33-M-02
Adj,Adjunto,,Adjunto,,,MD33-M-02
Adm,Administração,Administrativo;Administrável;Administrar,"Administração, Administrativo, Administrável, Administrar (A)",A,,MD33-M-02
Adms,Admissão,Admissível,"Admissão, Admissível",,,MD33-M-02
Admt,Admitir,,Admitir,,,MD33-M-02
Adq,Adquirir,,Adquirir,,,MD33-M-02
Adv,Adversário,Adverso,"Adversário, Adverso",,,MD33-M-02
AGU,Advocacia-Geral da União,,Advocacia-Geral da União,,,MD33-M-02
Ae,Aéreo,,Aéreo (A),A,,MD33-M-02
Aecl,Aeroclube,,Aeroclube,,,MD33-M-02
Adrm,Aeródromo,,Aeródromo (A),A,,MD33-M-02
Aepc,Aeroespacial,,Aeroespacial,,,MD33-M-02
Afg,Aerofotogrametria,Aerofotogramétrico,"Aerofotogrametria, Aerofotogramétrico",,,MD33-M-02
Aem,Aeromédica,,Aeromédica,,,MD33-M-02
Amv,Aeromóvel,,Aeromóvel,,,MD33-M-02
Aer,Aeronáutica,,Aeronáutica,,,MD33-M-02
Aernav,Aeronaval,,Aeronaval (A),A,,MD33-M-02
Anv,Aeronave,,Aeronave,,,MD33-M-02
AIFP,Aeronave Indisponível por Falta de Peças,,Aeronave Indisponível por Falta de Peças,,,MD33-M-02
ANCE,Aeronave Não Completamente Equipada,,Aeronave Não Completamente Equipada,,,MD33-M-02
ANT,Aeronave Não-Tripulada,,Aeronave Não-Tripulada,,,MD33-M-02
AOG,Aeronave no Solo (Aircraft on Ground),,Aeronave no Solo (Aircraft on Ground),,,MD33-M-02
Anvg,Aeronavegabilidade,Aeronavegante,"Aeronavegabilidade, Aeronavegante",,,MD33-M-02
Aprt,Aeroporto,,Aeroporto,,,MD33-M-02
Aetat,Aerotática,,Aerotática (A),A,,MD33-M-02
Aet,Aeroterrestre,,Aeroterrestre,,,MD33-M-02
Aetrnp,Aerotransportado,Aerotransporte;Aerotransportável,"Aerotransportado, Aerotransporte, Aerotransportável",,,MD33-M-02
Awy,Aerovia (Airway),,Aerovia (Airway),,,MD33-M-02
Afs,Afastamento,Afastar;Afastador,"Afastamento, Afastar, Afastador",,,MD33-M-02
Afr,Aferir,Aferição;Aferidor,"Aferir, Aferição, Aferidor",,,MD33-M-02
Aft,Afetar,Afetivo;Afetividade,"Afetar, Afetivo, Afetividade",,,MD33-M-02
Afi,Afirmar,Afirmativo;Afirmação;Afirmador,"Afirmar, Afirmativo, Afirmação, Afirmador",,,MD33-M-02
Age,Agência,Agenciador;Agenciar,"Agência (A), Agenciador, Agenciar",A,,MD33-M-02
ACP,Agência da Capitania dos Portos,,Agência da Capitania dos Portos,,,MD33-M-02
AI,Agência de Inteligência,,Agência de Inteligência,,,MD33-M-02
Agt,Agente,,Agente (A),A,,MD33-M-02
ACI,Agente de Controle Interno,,Agente de Controle Interno,,,MD33-M-02
ASV,Agente de Segurança de Vôo,,Agente de Segurança de Vôo,,,MD33-M-02
Agit,Agitação,Agitar;Agitador;Agitável,"Agitação, Agitar, Agitador, Agitável",,,MD33-M-02
Agrc,Agraciar,Agraciador,"Agraciar, Agraciador",,,MD33-M-02
Agrv,Agravamento,Agravar,"Agravamento, Agravar",,,MD33-M-02
Agg,Agregação,Agregar;Agregador,"Agregação, Agregar, Agregador",,,MD33-M-02
Agr,Agressor,Agressão;Agredir,"Agressor, Agressão, Agredir",,,MD33-M-02
Agpt,Agrupamento,,Agrupamento,,,MD33-M-02
Agp,Agrupar,,Agrupar,,,MD33-M-02
Agu,Água,,Água (A),A,,MD33-M-02
Agd,Aguardar,,Aguardar,,,MD33-M-02
Aj AA,Ajudante de Alocador de Armas,,Ajudante de Alocador de Armas,,,MD33-M-02
Aj CC,Ajudante de Chefe Controlador,,Ajudante de Chefe Controlador,,,MD33-M-02
Aj CCAO,Ajudante de Controlador de Circulação Aérea Operacional,,Ajudante de Controlador de Circulação Aérea Operacional,,,MD33-M-02
Aj CI,Ajudante de Controlador de Interceptação,,Ajudante de Controlador de Interceptação,,,MD33-M-02
