# IR 14-06, TITULO X, CAPITULO II (Art. 139-143) - Termos com representacao implicita
# Estes termos de propriedade / unidades de medida dispensam o termo de representacao no nome.
# Ex.: PESSOA.PESO_KG e nao PESO_KG_QTD (Art. 140).
# Se usados de outra forma que nao a implicita, exigem representacao explicita (Art. 141).
termo,representacao_implicita
QUILOGRAMA,QUANTIDADE
GRAMA,QUANTIDADE
TONELADA,QUANTIDADE
GRAU CENTIGRADO,QUANTIDADE
LITRO,QUANTIDADE
METRO,QUANTIDADE
QUILOMETRO,QUANTIDADE
CENTIMETRO,QUANTIDADE
PESO,QUANTIDADE
ALTURA,QUANTIDADE
LARGURA,QUANTIDADE
PROFUNDIDADE,QUANTIDADE
COMPRIMENTO,QUANTIDADE
DISTANCIA,QUANTIDADE
TEMPERATURA,QUANTIDADE
PRESSAO,QUANTIDADE
VELOCIDADE,QUANTIDADE
OBSERVACAO,TEXTO
COMENTARIO,TEXTO
FOTOGRAFIA,IMAGEM
GRAFICO,IMAGEM
