# REF_GAZETTEER — indice de nomes geograficos (SINTETICO)
# Gerado por scripts/geradores/gerar_seeds.py — nao editar a mao.
# Dado SINTETICO. Nenhuma unidade, localidade ou codinome aqui existe.
LOCAL_COD,LOCAL_NOME,LOCAL_TIPO_COD,REFERENCIA_TXT,GEOMETRIA_WKT,PRECISAO_METRO
BR154K000,BR-154 km 0,RODOVIA_KM,BR-154 km 0,POINT(-45.250000 -22.800000),250
BR154K005,BR-154 km 5,RODOVIA_KM,BR-154 km 5,POINT(-45.204825 -22.783061),250
BR154K010,BR-154 km 10,RODOVIA_KM,BR-154 km 10,POINT(-45.159650 -22.766122),250
BR154K015,BR-154 km 15,RODOVIA_KM,BR-154 km 15,POINT(-45.114476 -22.749182),250
BR154K020,BR-154 km 20,RODOVIA_KM,BR-154 km 20,POINT(-45.069301 -22.732243),250
BR154K025,BR-154 km 25,RODOVIA_KM,BR-154 km 25,POINT(-45.024126 -22.715304),250
BR154K030,BR-154 km 30,RODOVIA_KM,BR-154 km 30,POINT(-44.978951 -22.698365),250
BR154K035,BR-154 km 35,RODOVIA_KM,BR-154 km 35,POINT(-44.933776 -22.681426),250
BR154K040,BR-154 km 40,RODOVIA_KM,BR-154 km 40,POINT(-44.888602 -22.664487),250
BR154K045,BR-154 km 45,RODOVIA_KM,BR-154 km 45,POINT(-44.843427 -22.647547),250
BR154K050,BR-154 km 50,RODOVIA_KM,BR-154 km 50,POINT(-44.798252 -22.630608),250
BR154K055,BR-154 km 55,RODOVIA_KM,BR-154 km 55,POINT(-44.753077 -22.613669),250
BR154K060,BR-154 km 60,RODOVIA_KM,BR-154 km 60,POINT(-44.707902 -22.596730),250
BR154K065,BR-154 km 65,RODOVIA_KM,BR-154 km 65,POINT(-44.662728 -22.579791),250
BR154K070,BR-154 km 70,RODOVIA_KM,BR-154 km 70,POINT(-44.617553 -22.562851),250
BR154K075,BR-154 km 75,RODOVIA_KM,BR-154 km 75,POINT(-44.572378 -22.545912),250
BR154K080,BR-154 km 80,RODOVIA_KM,BR-154 km 80,POINT(-44.527203 -22.528973),250
BR154K085,BR-154 km 85,RODOVIA_KM,BR-154 km 85,POINT(-44.482028 -22.512034),250
BR154K090,BR-154 km 90,RODOVIA_KM,BR-154 km 90,POINT(-44.436854 -22.495095),250
BR154K095,BR-154 km 95,RODOVIA_KM,BR-154 km 95,POINT(-44.391679 -22.478156),250
BR154K100,BR-154 km 100,RODOVIA_KM,BR-154 km 100,POINT(-44.346504 -22.461216),250
BR154K105,BR-154 km 105,RODOVIA_KM,BR-154 km 105,POINT(-44.301329 -22.444277),250
BR154K110,BR-154 km 110,RODOVIA_KM,BR-154 km 110,POINT(-44.256154 -22.427338),250
BR154K115,BR-154 km 115,RODOVIA_KM,BR-154 km 115,POINT(-44.210980 -22.410399),250
BR154K120,BR-154 km 120,RODOVIA_KM,BR-154 km 120,POINT(-44.165805 -22.393460),250
VC231K000,VC-231 km 0,RODOVIA_KM,VC-231 km 0,POINT(-44.770420 -22.815251),250
VC231K005,VC-231 km 5,RODOVIA_KM,VC-231 km 5,POINT(-44.788671 -22.773325),250
VC231K010,VC-231 km 10,RODOVIA_KM,VC-231 km 10,POINT(-44.806923 -22.731399),250
VC231K015,VC-231 km 15,RODOVIA_KM,VC-231 km 15,POINT(-44.825175 -22.689473),250
VC231K020,VC-231 km 20,RODOVIA_KM,VC-231 km 20,POINT(-44.843427 -22.647547),250
VC231K025,VC-231 km 25,RODOVIA_KM,VC-231 km 25,POINT(-44.861679 -22.605621),250
VC231K030,VC-231 km 30,RODOVIA_KM,VC-231 km 30,POINT(-44.879930 -22.563695),250
VC231K035,VC-231 km 35,RODOVIA_KM,VC-231 km 35,POINT(-44.898182 -22.521770),250
VC231K040,VC-231 km 40,RODOVIA_KM,VC-231 km 40,POINT(-44.916434 -22.479844),250
LOC00,Vila Aroeira,LOCALIDADE,Vila Aroeira,POINT(-45.155818 -22.823208),1500
LOC01,Povoado Sucupira,LOCALIDADE,Povoado Sucupira,POINT(-45.118308 -22.692096),1500
LOC02,Nucleo Jatoba,LOCALIDADE,Nucleo Jatoba,POINT(-44.993189 -22.762227),1500
LOC03,Vila Copaiba,LOCALIDADE,Vila Copaiba,POINT(-44.955679 -22.631115),1500
LOC04,Povoado Barriguda,LOCALIDADE,Povoado Barriguda,POINT(-44.830560 -22.701246),1500
